onset	duration	trial_type	value	sample	StimulusPresentation
2.1008333333333336	0.005	begin	1	2521	PsychophysicsToolbox
7.14	0.005	stim_on	4	8568	PsychophysicsToolbox
8.164166666666667	0.005	resp	3	9797	PsychophysicsToolbox
8.5225	0.005	stim_on	4	10227	PsychophysicsToolbox
9.316666666666666	0.005	resp	3	11180	PsychophysicsToolbox
9.905833333333334	0.005	stim_on	4	11887	PsychophysicsToolbox
10.676666666666666	0.005	resp	3	12812	PsychophysicsToolbox
11.339166666666667	0.005	stim_on	4	13607	PsychophysicsToolbox
12.1325	0.005	resp	3	14559	PsychophysicsToolbox
13.005833333333332	0.005	stim_on	4	15607	PsychophysicsToolbox
13.916666666666666	0.005	resp	3	16700	PsychophysicsToolbox
14.505833333333332	0.005	stim_on	4	17407	PsychophysicsToolbox
15.324166666666668	0.005	resp	3	18389	PsychophysicsToolbox
15.9725	0.005	stim_on	4	19167	PsychophysicsToolbox
16.868333333333332	0.005	resp	3	20242	PsychophysicsToolbox
17.06	0.005	resp	3	20472	PsychophysicsToolbox
17.36	0.005	stim_on	4	20832	PsychophysicsToolbox
18.308333333333337	0.005	resp	3	21970	PsychophysicsToolbox
19.055833333333332	0.005	stim_on	4	22867	PsychophysicsToolbox
19.924166666666668	0.005	resp	3	23909	PsychophysicsToolbox
20.5225	0.005	stim_on	4	24627	PsychophysicsToolbox
21.404166666666665	0.005	resp	3	25685	PsychophysicsToolbox
22.1725	0.005	stim_on	4	26607	PsychophysicsToolbox
23.0925	0.005	resp	3	27711	PsychophysicsToolbox
23.7225	0.005	stim_on	4	28467	PsychophysicsToolbox
24.644166666666667	0.005	resp	3	29573	PsychophysicsToolbox
25.189166666666665	0.005	stim_on	4	30227	PsychophysicsToolbox
26.100833333333338	0.005	resp	3	31321	PsychophysicsToolbox
26.855833333333333	0.005	stim_on	4	32227	PsychophysicsToolbox
27.700833333333332	0.005	resp	3	33241	PsychophysicsToolbox
28.4725	0.005	stim_on	4	34167	PsychophysicsToolbox
29.340833333333332	0.005	resp	3	35209	PsychophysicsToolbox
29.9725	0.005	stim_on	4	35967	PsychophysicsToolbox
30.820833333333333	0.005	resp	3	36985	PsychophysicsToolbox
